,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,017670.KS,017670.KS,017670.KS,017670.KS,017670.KS,036570.KS,036570.KS,036570.KS,036570.KS,036570.KS,035420.KS,035420.KS,035420.KS,035420.KS,035420.KS,032640.KS,032640.KS,032640.KS,032640.KS,032640.KS,352820.KS,352820.KS,352820.KS,352820.KS,352820.KS,251270.KS,251270.KS,251270.KS,251270.KS,251270.KS,030000.KS,030000.KS,030000.KS,030000.KS,030000.KS,259960.KS,259960.KS,259960.KS,259960.KS,259960.KS,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS,030200.KS,030200.KS,030200.KS,030200.KS,030200.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,24583.115234375,26200.425210993468,22448.26525753941,25236.510241867123,1593669.0,,,,,,,,,,,,,,,,,,,,,,,,,,1802.702392578125,1833.256670418432,1672.337473792814,1672.337473792814,2347500.0,,,,,,,,,,,61045.34375,67185.99963017752,57794.40828402367,65741.13942307692,2344500.0
2000-01-05,20895.6484375,23612.73075596819,20895.6484375,20895.6484375,2539217.0,,,,,,,,,,,,,,,,,,,,,,,,,,1772.14794921875,1894.3650491648707,1723.2611092403015,1751.7784325610633,2242500.0,,,,,,,,,,,52556.77734375,57794.3943298969,52376.16986146907,53459.81475515464,2744900.0
2000-01-06,21264.39453125,22771.72719278365,20863.30010231712,22642.3427616216,1855581.0,,,,,,,,,,,,,,,,,,,,,,,,,,1751.7784423828125,1884.180301400118,1751.7784423828125,1853.6260262422784,3417500.0,,,,,,,,,,,53279.21484375,55627.1124470339,52376.17730402543,54543.46739936441,2275100.0
2000-01-07,21736.6484375,22642.34165497736,19860.567546517414,19925.259758936605,1518203.0,,,,,,,,,,,,,,,,,,,,,,,,,,1792.5174560546875,1823.0717308738012,1755.8523262717506,1782.3326977816496,1252500.0,,,,,,,,,,,48041.60546875,51473.148716517855,45693.70745711936,50931.326098449244,2404200.0
2000-01-10,23936.19140625,24777.194769432364,22965.805844220547,23289.26919396968,1198581.0,,,,,,,,,,,,,,,,,,,,,,,,,,1792.5174560546875,1853.6260056929157,1761.9631812355735,1833.2564891468396,1447500.0,,,,,,,,,,,52376.18359375,54001.65136045259,49667.070649245696,50570.1082974138,2273400.0
2000-01-11,22707.03515625,24453.729477928064,22448.26404827669,23612.728425134595,1145311.0,,,,,,,,,,,,,,,,,,,,,,,,,,2057.321044921875,2057.321044921875,1812.8868613668003,1823.0716190149287,3612500.0,,,,,,,,,,,50570.1171875,53821.05329241072,50208.90206473215,53459.83816964286,1706100.0
2000-01-12,21348.49609375,22318.88166793618,20572.187185679253,21348.49609375,910034.0,,,,,,,,,,,,,,,,,,,,,,,,,,2016.5821533203125,2199.907803622159,1955.4736032196968,1955.4736032196968,4772500.0,,,,,,,,,,,47499.7734375,49486.45597671103,47319.165933935365,48764.02596245247,1211700.0
2000-01-13,21529.62890625,22318.87652560541,20708.03742693647,21963.06938637273,1265169.0,,,,,,,,,,,,,,,,,,,,,,,,,,2118.429443359375,2138.7989572378306,1975.842846210186,2036.9513878455527,1822500.0,,,,,,,,,,,46957.94140625,48583.40860877404,45513.08167067308,47680.37127403846,1750000.0
2000-01-14,21995.42578125,22965.81158588484,21529.63897962641,22073.056914853933,981061.0,,,,,,,,,,,,,,,,,,,,,,,,,,2240.646484375,2281.3855113636364,2118.4294034090917,2138.798916903409,4367500.0,,,,,,,,,,,47499.7734375,49847.670983840304,46416.128416112166,48402.81095532319,1637600.0
2000-01-17,24673.68359375,25230.037991166188,22383.571545214752,22383.571545214752,994378.0,,,,,,,,,,,,,,,,,,,,,,,,,,2342.49462890625,2342.49462890625,2108.2451660156253,2240.647036345109,2730000.0,,,,,,,,,,,49667.06640625,50028.28143465909,48041.59877840909,48402.81380681819,1065800.0
2000-01-18,24906.578125,25747.579207873277,24291.999806544067,25747.579207873277,994378.0,,,,,,,,,,,,,,,,,,,,,,,,,,2281.3857421875,2322.124773297991,2098.0601021902903,2301.755257742745,2590000.0,,,,,,,,,,,50389.48828125,52376.17061491935,48764.02091733871,50028.27331149193,1471000.0
2000-01-19,24906.578125,25165.34699861981,23418.65261446832,24518.422570961404,1234094.0,,,,,,,,,,,,,,,,,,,,,,,,,,2199.90771484375,2444.3419053819443,2179.538198965567,2444.3419053819443,4920000.0,,,,,,,,,,,47680.390625,50208.89618844697,47680.390625,49667.073567708336,1357000.0
2000-01-20,23806.8046875,24777.19240035455,22629.40368139656,24162.61411384234,1393905.0,,,,,,,,,,,,,,,,,,,,,,,,,,2322.125244140625,2322.125244140625,2118.430047286184,2199.9081260279604,2010000.0,,,,,,,,,,,48764.03125,48764.03125,45693.703356481485,46957.95601851852,1170000.0
2000-01-21,22674.697265625,23612.736982505317,22338.297171316342,23612.736982505317,1242973.0,,,,,,,,,,,,,,,,,,,,,,,,,,2240.646484375,2403.6025923295456,2240.646484375,2322.124538352273,1315000.0,,,,,,,,,,,46596.734375,47680.37936046512,46054.91188226744,46957.94937015504,1152700.0
2000-01-24,24647.8125,25876.96941080274,22027.77033995337,22318.885387644317,1420541.0,,,,,,,,,,,,,,,,,,,,,,,,,,2118.429443359375,2230.4617696908804,2118.429443359375,2179.537984994741,990000.0,,,,,,,,,,,45513.09765625,47499.78049045138,45513.09765625,46054.92024739583,1046400.0
2000-01-25,23295.740234375,24447.26594497048,23101.663548066204,23580.386938404925,861202.0,,,,,,,,,,,,,,,,,,,,,,,,,,1935.1044921875,2067.5063784950657,1935.1044921875,2067.5063784950657,1612500.0,,,,,,,,,,,42623.37109375,44429.44614009534,42623.37109375,44429.44614009534,1266700.0
2000-01-26,22648.81640625,23871.50270900921,22590.592501105984,23095.193696062648,1043209.0,,,,,,,,,,,,,,,,,,,,,,,,,,1969.731689453125,1996.2120534271587,1914.734010430132,1937.140472254314,1195000.0,,,,,,,,,,,39733.65625,42803.98423295455,38650.01107954545,42623.37670454546,1465300.0
2000-01-27,23095.19921875,23095.19921875,22512.969002520047,22642.35349501559,759101.0,,,,,,,,,,,,,,,,,,,,,,,,,,1986.02783203125,2026.766864483173,1967.6952674278848,1996.212590144231,627500.0,,,,,,,,,,,41178.51171875,41900.94174890351,39372.43664336623,40094.86667351974,1157400.0
2000-01-28,24389.037109375,24583.113756435163,23509.21938626153,23742.112708899003,967743.0,,,,,,,,,,,,,,,,,,,,,,,,,,2020.6563720703125,2077.691027733588,1996.2129482146236,1996.2129482146236,472500.0,,,,,,,,,,,44068.234375,45332.48700051229,41900.94415983607,42623.374231557376,1619500.0
2000-01-31,24453.73046875,24777.193805920604,23787.39882112576,23936.19047544237,821250.0,,,,,,,,,,,,,,,,,,,,,,,,,,2036.9515380859373,2138.799114990234,2022.692877319336,2138.799114990234,1140000.0,,,,,,,,,,,45513.09765625,46054.92024739583,43345.80729166666,44429.45247395833,1171100.0
2000-02-01,23709.767578125,24848.35421090601,23289.26815883271,24453.730332789462,834567.0,,,,,,,,,,,,,,,,,,,,,,,,,,2057.321044921875,2128.6143484587715,2026.7667719774904,2036.9515296256184,827500.0,,,,,,,,,,,44790.66796875,46957.95835433468,44248.84537235383,46777.35082220262,938600.0
2000-02-02,23709.767578125,24259.653677731487,23548.037032243352,24259.653677731487,630365.0,,,,,,,,,,,,,,,,,,,,,,,,,,2311.940185546875,2311.940185546875,2047.1364638542811,2098.0602564874725,1495000.0,,,,,,,,,,,45151.875,45874.305,43345.8,45151.875,1085200.0
2000-02-03,24583.115234375,24712.49967352705,23709.76802648974,23709.76802648974,546020.0,,,,,,,,,,,,,,,,,,,,,,,,,,2658.22216796875,2658.22216796875,2362.864149305556,2444.3422234195405,8087500.0,,,,,,,,,,,44790.66796875,46054.9206936744,43707.02277595767,45874.31316154234,1288000.0
2000-02-04,24583.115234375,24583.115234375,24583.115234375,24583.115234375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2658.22216796875,2658.22216796875,2658.22216796875,2658.22216796875,0.0,,,,,,,,,,,44790.66796875,44790.66796875,44790.66796875,44790.66796875,0.0
2000-02-07,25547.03515625,25941.65908367707,24647.810067732284,24647.810067732284,1211899.0,,,,,,,,,,,,,,,,,,,,,,,,,,2556.37451171875,2770.2544509462155,2464.7116806212653,2658.222101827067,3947500.0,,,,,,,,,,,49486.453125,50931.31307025548,45151.873289233576,45332.480782390514,2553700.0
2000-02-08,24906.578125,25812.271426278225,24906.578125,25547.03198465259,648121.0,,,,,,,,,,,,,,,,,,,,,,,,,,2485.081298828125,2627.6679307280992,2474.896539406698,2566.559374199539,1675000.0,,,,,,,,,,,47680.390625,50028.28864820076,47499.78308475378,49847.681107954544,1147800.0
2000-02-09,27041.423828125,27494.26928603774,24583.110939307437,24583.110939307437,1602547.0,,,,,,,,,,,,,,,,,,,,,,,,,,2851.73193359375,2851.7319335937505,2525.8197126116074,2546.1892264229914,5530000.0,,,,,,,,,,,49847.671875,50570.10190217391,48583.41932744565,48944.63434103261,1447100.0
2000-02-10,29111.580078125,31097.638126571732,27364.88590164791,27817.73362024982,2299500.0,,,,,,,,,,,,,,,,,,,,,,,,,,2831.363037109375,3014.688701382644,2790.624000604204,2933.210628372302,4332500.0,,,,,,,,,,,49305.84375,53098.60096153846,47680.37637362637,47680.37637362637,2480500.0
2000-02-11,30243.705078125,32799.054708810174,26329.81422865161,32346.206888011064,1749041.0,,,,,,,,,,,,,,,,,,,,,,,,,,2546.18994140625,2953.58033203125,2546.18994140625,2831.36321484375,2387500.0,,,,,,51310.5625,51310.5625,51310.5625,51310.5625,276500.0,48944.6328125,51653.74532979705,48764.025311346864,50389.49282172509,1347900.0
2000-02-14,29758.525390625,30910.051590947103,29111.60058419247,29111.60058419247,976621.0,,,,,,,,,,,,,,,,,,,,,,,,,,2607.298583984375,2627.668104171753,2373.049101829529,2586.929063796997,1665000.0,,,,,,46423.8359375,56009.32432945344,45202.15604440789,49618.99873481781,6270500.0,47680.390625,49667.073567708336,46957.96046401515,48041.60570549242,1251800.0
